Cd106,Cd106
E_eV,Sig_b
500.9862,3.94972462
501.3149,3.94042528
501.6436,3.93217037
501.9723,3.92468735
502.301,3.9177931
502.6297,3.91135486
503.1228,3.90233961
503.6158,3.89390221
504.1089,3.88589899
504.6019,3.87823953
505.095,3.870851
505.588,3.86368499
506.0811,3.85670664
506.5741,3.84988847
507.5602,3.83660025
508.5463,3.82370092
509.5324,3.81111493
510.5184,3.79878211
511.5703,3.78585344
512.6221,3.77312061
513.674,3.7605482
514.7258,3.74811105
516.8295,3.7235565
518.9331,3.69930039
521.0368,3.67521089
523.1405,3.65119581
525.2442,3.62716327
527.3478,3.60302976
530.2404,3.56953009
533.1329,3.53551226
536.0255,3.50077988
538.918,3.46513586
541.8106,3.42844285
544.7031,3.39045831
547.5957,3.35100785
550.4882,3.30991704
553.3808,3.26686887
556.2733,3.22171527
559.1659,3.17413824
560.6122,3.14933622
562.0584,3.12378459
563.5047,3.09753384
564.951,3.07045005
566.3973,3.04244733
567.8435,3.01360304
569.2898,2.9837972
570.7361,2.952876
572.1824,2.92092107
573.6286,2.88785586
575.4694,2.84389407
577.3101,2.79774594
579.1508,2.74925193
580.9915,2.69848827
582.8322,2.64473041
584.6729,2.58796357
586.5136,2.5279254
587.434,2.49658625
588.3543,2.4643186
589.8006,2.41162561
591.2469,2.35635785
592.6932,2.2983287
594.1394,2.23734111
595.5857,2.17317577
596.3089,2.13982679
597.032,2.10560379
597.7552,2.07046454
598.4783,2.03438669
599.2014,1.99733432
599.9245,1.95927579
601.0421,1.89839477
602.1597,1.83490928
603.2773,1.76869908
604.3948,1.699661
605.5124,1.6276952
606.0712,1.5906315
606.63,1.5528302
607.1888,1.5142217
607.7476,1.4748216
608.3064,1.4346533
608.8651,1.3937362
609.5883,1.3396689
610.3114,1.28441
611.0346,1.2280125
611.7577,1.1705962
612.4809,1.1122861
613.204,1.0532933
613.9272,0.9938626
614.6503,0.9343583
615.2749,0.8832427
615.8994,0.8327953
616.5239,0.7834898
617.1484,0.7359354
617.773,0.6908913
618.3975,0.6493111
618.7098,0.6301719
619.022,0.6123882
619.3343,0.5961751
619.6465,0.5817906
619.9259,0.5706812
620.2053,0.561456
620.4847,0.5543507
620.7641,0.54963221
620.9038,0.5482615
621.0435,0.54760517
621.1832,0.54770843
621.3229,0.54861937
621.4626,0.55038957
621.6023,0.55307333
621.742,0.55672828
621.8817,0.56141514
621.9968,0.56609742
622.1118,0.5715567
622.2269,0.57784226
622.3419,0.58498528
622.457,0.59304241
622.572,0.60204638
622.6871,0.61206217
622.7446,0.617458151
622.8021,0.623124598
622.8925,0.632596856
622.9829,0.64278303
623.0733,0.65371239
623.1637,0.66541565
623.2541,0.67792467
623.3445,0.69127297
623.4349,0.70549562
623.5252,0.7206118
623.6156,0.73669331
623.706,0.75376381
623.7964,0.77186519
623.8868,0.79104122
623.9772,0.81133778
624.0676,0.83280279
624.158,0.85548644
624.2483,0.87941425
624.3305,0.9023449
624.4127,0.9264155
624.4949,0.9516714
624.577,0.9781268
624.6592,1.0058955
624.7414,1.0349978
624.8236,1.0654878
624.9057,1.0973823
624.9879,1.1308183
625.0701,1.16582
625.1523,1.2024526
625.2344,1.2407368
625.3166,1.2808376
625.3988,1.3227848
625.481,1.3666573
625.5631,1.4124813
625.6535,1.4653584
625.7439,1.5208922
625.8343,1.579211
625.9247,1.6404497
626.0151,1.7047507
626.1055,1.7722668
626.1959,1.843155
626.2862,1.9175019
626.4095,2.0250475
626.5328,2.1399964
626.6561,2.2628679
626.7793,2.394118
626.9026,2.534571
627.0258,2.68466
627.1491,2.845353
627.2723,3.017175
627.3627,3.150904
627.4531,3.291519
627.5435,3.439408
627.6339,3.594987
627.7243,3.758701
627.8147,3.931027
627.9051,4.112471
627.9955,4.30358
628.0859,4.504936
628.1763,4.717166
628.2667,4.940941
628.3571,5.176981
628.4475,5.426064
628.5379,5.689023
628.6283,5.966757
628.7186,6.259901
628.7967,6.526911
628.8748,6.807176
628.9529,7.101475
629.0309,7.410232
629.109,7.735132
629.187,8.076301
629.2651,8.435643
629.3431,8.813345
629.4212,9.211572
629.4993,9.631142
629.5774,10.07345
629.6554,10.539389
629.7335,11.03178
629.8115,11.551127
629.8896,12.100668
629.9676,12.68107
630.058,13.396179
630.1484,14.160519
630.2388,14.978338
630.3292,15.854318
630.4196,16.793666
630.51,17.802162
630.6004,18.886266
630.6907,20.051828
630.7811,21.309518
630.8715,22.667135
630.9619,24.134911
631.0523,25.724385
631.1427,27.448634
631.2331,29.322556
631.3235,31.363128
631.4139,33.589817
631.5043,36.025014
631.5947,38.694611
631.6851,41.628645
631.7755,44.862142
631.8207,46.603774
631.8659,48.43624
631.9111,50.365828
631.9563,52.39942
632.0015,54.54449
632.0467,56.80924
632.0919,59.20261
632.137,61.72867
632.1822,64.40938
632.2274,67.25116
632.2726,70.26707
632.3178,73.4715
632.363,76.88042
632.4082,80.5114
632.4534,84.38399
632.4986,88.51985
632.5438,92.94301
632.589,97.68019
632.6342,102.76109
632.6794,108.21873
632.7246,114.08987
632.7698,120.41531
632.815,127.2405
632.8602,134.61578
632.8931,140.36164
632.926,146.45188
632.9589,152.91181
632.9917,159.74698
633.0246,167.02819
633.0575,174.7662
633.0904,182.99438
633.1232,191.72057
633.1561,201.03575
633.189,210.954
633.2219,221.51752
633.2547,232.73579
633.2876,244.72367
633.3204,257.45725
633.3533,271.06509
633.3861,285.5171
633.4313,306.98218
633.4765,330.37658
